"Date & Time",Temperature,Humidity,PM1.0,PM2.5,PM10
"2025-01-01 01:47:56.0000",9.69,87.37,-1.4098648859776536e31,-3.724718947802412e29,-1.9065890069974674e29
"2025-01-01 02:17:51.0000",11.2,88.04,-1.4098648859776536e31,-3.724718947802412e29,-1.9065890069974674e29
"2025-01-01 03:47:30.0000",8.33,88.47,-1.4098648859776536e31,-3.724718947802412e29,-1.9065890069974674e29
"2025-01-01 07:46:50.0000",6.87,88.22,-1.4098648859776536e31,-3.724718947802412e29,-1.9065890069974674e29
"2025-01-01 08:16:46.0000",7.2,88.19,-1.4098648859776536e31,-3.724718947802412e29,-1.9065890069974674e29
"2025-01-01 08:46:40.0000",7.61,88.27,-1.4098648859776536e31,-3.724718947802412e29,-1.9065890069974674e29
"2025-01-01 09:16:36.0000",7.92,88.18,-1.4098648859776536e31,-3.724718947802412e29,-1.9065890069974674e29
"2025-01-01 11:16:16.0000",7.88,85.84,-1.4098648859776536e31,-3.724718947802412e29,-1.9065890069974674e29
"2025-01-01 11:46:11.0000",8.3,86.73,-1.4098648859776536e31,-3.724718947802412e29,-1.9065890069974674e29
"2025-01-02 01:13:29.0000",1.39,81.35,-1.4098648859776536e31,-3.724718947802412e29,-1.9065890069974674e29
"2025-01-02 02:13:17.0000",0.95,81.79,-1.4098648859776536e31,-3.724718947802412e29,-1.9065890069974674e29
"2025-01-02 03:13:04.0000",1.14,81.4,-1.4098648859776536e31,-3.724718947802412e29,-1.9065890069974674e29
"2025-01-02 04:12:55.0000",0.45,81.04,-1.4098648859776536e31,-3.724718947802412e29,-1.9065890069974674e29
"2025-01-02 11:41:53.0000",10.77,58.88,1.649763822555542,3.9355950235886175,12.595949107188275
"2025-01-02 14:11:30.0000",11.49,52.82,1.267580270767212,3.970069505151631,14.725984515180102
"2025-01-02 15:41:00.0000",4.81,57.23,1.0735288858413696,3.250479732174003,8.10120230403785
"2025-01-02 19:10:11.0000",-0.3,64.96,3.755063772201538,5.245170014047793,12.569400700393555
"2025-01-02 19:40:06.0000",-0.75,65.42,2.055915355682373,3.6264822297464923,8.01953299914316
"2025-01-03 00:39:15.0000",1.29,68.36,1.6049482822418213,3.224888291566947,10.591514753494572
"2025-01-03 02:08:58.0000",2.81,67.56,0.9426766037940979,2.7465453261411694,11.23555358901017
"2025-01-03 03:08:50.0000",3.97,66.12,0.9950853586196899,2.757391384282742,10.207118148166371
"2025-01-03 04:08:43.0000",4.34,67.04,1.0513197183609009,2.6506558913505223,10.081500107725192
"2025-01-03 04:38:38.0000",4.87,67.66,1.3228213787078857,3.069337393325269,9.390348060250611
"2025-01-03 05:08:37.0000",5.44,65.89,1.4252558946609497,3.2360974682870554,8.484069897993425
"2025-01-03 10:07:46.0000",5.58,75.17,-1.4098648859776536e31,-3.724718947802412e29,-1.9065890069974674e29
