"Date & Time",Temperature,Humidity,PM1.0,PM2.5,PM10
"2025-01-01 02:50:25.0000",9.28,112.98,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-01 10:18:55.0000",6.16,109.37,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-01 10:48:48.0000",6.08,110.23,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-01 10:48:49.0000",6.08,110.23,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-01 13:48:15.0000",6.25,109.76,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-01 14:48:03.0000",6.18,111.56,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-01 23:16:14.0000",0.67,111.4,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-02 02:45:30.0000",-0.52,108.64,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-02 04:15:10.0000",-1.29,107.12,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-02 10:14:04.0000",-0.49,104.51,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-03 01:11:16.0000",0.68,85.54,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-03 01:41:11.0000",1.32,84.15,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-03 02:11:07.0000",1.8,81.1,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-03 20:07:52.0000",2.49,108.44,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-04 00:36:57.0000",1.91,109.18,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-04 04:06:17.0000",1.63,110.35,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-04 06:35:46.0000",1.27,111.29,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-04 19:03:22.0000",0.98,108.23,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-05 01:02:09.0000",-0.83,111.49,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-05 02:31:54.0000",-0.9,113.11,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
"2025-01-05 06:01:14.0000",-0.94,115.76,-1.4098648859776536e31,-6.497900753638829e29,-9.361389022382871e29
