"Date & Time",Temperature,Humidity,PM1.0,PM2.5,PM10
"2024-07-01 00:16:31.0000",12.45,69.63,0,2.6764277419976166,8.43450602901649
"2024-07-01 00:46:27.0000",13.29,69.34,0,2.6466204469070314,8.373841970653361
"2024-07-01 01:16:24.0000",13.59,69.41,0,2.6379667160742812,8.35622982467697
"2024-07-01 01:46:26.0000",13.6,69.76,0,2.548064067978485,8.173259197033337
"2024-07-01 02:16:18.0000",13.55,70.04,0,2.6052748440394464,8.289695050988374
"2024-07-01 03:16:13.0000",12.96,71.26,0,2.544217965386152,8.165431576599385
"2024-07-01 03:46:11.0000",12.75,71.42,0,2.562967715523778,8.203591226214902
"2024-07-01 04:16:07.0000",12.83,71.49,0,2.5033531253426085,8.082263109488643
"2024-07-01 04:46:04.0000",12.99,71.55,0,2.514891433119609,8.105745970790501
"2024-07-01 05:16:01.0000",13.36,71.69,0,2.5038338881666498,8.083241562042888
"2024-07-01 05:46:03.0000",13.81,71.75,0,2.525468215248526,8.12727192698387
"2024-07-01 06:15:55.0000",13.78,71.96,0,2.5091222792311085,8.094004540139572
"2024-07-01 06:45:52.0000",13.7,72.25,0,2.483641849556899,8.042146554764638
"2024-07-01 07:15:51.0000",13.63,72.61,0,2.4596037083548143,7.993223927052438
"2024-07-01 07:45:42.0000",13.64,72.92,0,2.3961430155813117,7.864068189892229
"2024-07-01 08:45:36.0000",13.46,73.31,0,2.4221042080795625,7.916904627821404
"2024-07-01 09:15:27.0000",12.7,73.88,0,2.3937392014611034,7.859175927121009
"2024-07-01 09:45:28.0000",13.17,73.93,0,2.3932584386370617,7.858197474566764
"2024-07-01 10:45:26.0000",14.04,72.83,0,2.3648934320186017,7.800468773866367
"2024-07-01 11:15:16.0000",13.92,74,0,2.35575893836181,7.781878175335731
"2024-07-01 11:45:16.0000",13.95,73.75,0,2.299509687948932,7.667399226489181
"2024-07-01 12:15:10.0000",13.59,75.19,0,2.329797745863559,7.729041737406554
"2024-07-01 12:45:08.0000",13.5,76.2,0,2.2360489951754294,7.538243489328971
