lon,lat,label,sensor_id,min_time,max_time,temp,humid,pm1,pm25,pm10
53.402174,-2.989634,Strand Albert Dock,70b3d549927b8c65,2021-03-05 13:30:48,2022-09-30 10:25:37,0,0,0,0,0
53.402436,-2.989633,Strand Chavasse Park,70b3d54994bcb5c3,2021-03-05 14:27:07,2022-09-30 10:25:37,0,0,0,0,0
53.41065,-2.9847,LJMU Henry Cotton,f008d1cb8d70,2021-11-02 18:17:59,2025-04-04 13:35:52,0,0,0,0,0
53.40878,-2.98398,Old Haymarket,f008d1cb9af0,2021-10-21 17:57:38,2025-04-04 13:41:20,0,0,0,0,0
53.4073,-2.98228,Williamson Sq.,f008d1cbc690,2021-03-19 18:56:06,2024-05-10 12:10:43,0,0,0,0,0
53.4053,-2.96438,UoL Maths Building,f008d1cbc6b8,2021-03-19 17:42:41,2024-03-28 11:58:43,0,0,0,0,0
53.40777,-2.98273,Queens Square,f008d1cbc8f8,2021-03-17 15:34:26,2024-03-28 11:58:43,0,0,0,0,0
53.40144,-2.96502,Roxby Building,f008d1cbce64,2021-10-21 19:10:38,2025-04-04 13:44:59,0,0,0,0,0
53.45355,-2.99147,Regenerus,f008d1cbcec8,2022-02-07 15:50:49,2025-04-04 13:28:51,0,0,0,0,0
53.40413,-2.97904,Liverpool Central station,f008d1cbcecc,2021-10-27 16:18:25,2025-04-04 12:45:34,0,0,0,0,0
53.37622,-2.95428,St Michaels station,f008d1cbcfd4,2021-10-27 17:29:14,2024-09-26 16:07:24,0,0,0,0,0
53.38313,-2.97618,Brunswick station,f008d1cbd028,2021-10-27 16:28:07,2025-04-04 12:44:46,0,0,0,0,0
53.3515,-2.88686,Garston,f008d1cbd07c,2021-11-04 17:14:28,2025-03-13 17:08:07,0,0,0,0,0
53.39918,-2.9223,Wavertree RELOVED,f008d1cbd13c,2021-10-27 17:04:49,2024-09-26 15:49:06,0,0,0,0,0
53.40541,-2.97141,St Nicholas Catholic Primary School,f008d1cbdea4,2021-10-21 17:48:55,2025-04-04 13:34:55,0,0,0,0,0
53.43118,-2.97279,Everton Valley,f008d1cbdef0,2021-11-04 17:09:02,2025-03-13 17:08:36,0,0,0,0,0
53.39054,-2.9208,Winchfield Road,f008d1cbec8c,2021-11-04 17:22:37,2024-05-08 13:37:58,0,0,0,0,0
53.43275,-2.95459,Anfield,f008d1cbfef4,2021-11-04 16:52:21,2025-04-04 12:44:32,0,0,0,0,0
53.40692,-2.96291,Life Sciences Building,f008d1cc02a4,2021-10-21 19:03:31,2025-04-04 13:38:47,0,0,0,0,0
53.4397,-2.98279,Kirkdale station,f008d1cc04ec,2021-10-27 17:15:28,2025-04-04 13:27:26,0,0,0,0,0
53.45565,-2.99796,All Saints Primary,f008d1cc1110,2021-10-27 16:53:15,2025-03-01 13:03:11,0,0,0,0,0
